Airoli 			[[0, 0], [0, 0], [0, 0], [0, 0], [14.58714412500001, 456], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [14.588912379627022, 563], [0, 0]]
Vashi 			[[0, 0], [0, 0], [0, 0], [0, 0], [21.988863290000015, 678], [0, 0], [0, 0], [0, 0], [0, 0], [21.988863290000076, 456], [0, 0], [0, 0]]
Nerul 			[[13.637415765000002, 228], [0, 0], [0, 0], [0, 0], [0, 0], [12.978818179999989, 150], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
AmraMarg 		[[0, 0], [0, 0], [0, 0], [0, 0], [24.00881731106357, 912], [0, 0], [0, 0], [23.907344235333316, 270], [23.998971569078925, 228], [0, 0], [0, 0], [0, 0]]
ShillGaon 		[[0, 0], [0, 0], [0, 0], [0, 0], [29.2759070518422, 684], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
Kharegaon 		[[0, 0], [0, 0], [0, 0], [0, 0], [11.573772438148653, 74], [11.576515832042864, 140], [0, 0], [14.009012480412833, 436], [0, 0], [0, 0], [0, 0], [0, 0]]
RetiBandar 		[[0, 0], [0, 0], [0, 0], [14.229984268530718, 456], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
Dombivli 		[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [10.935436474999982, 1140], [10.935436474999982, 228], [0, 0], [0, 0], [0, 0], [0, 0]]
Kalyan 			[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [9.316285714499973, 868], [0, 0], [0, 0], [0, 0], [0, 0]]
AgraRd 			[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [9.702069236105514, 436], [0, 0], [0, 0], [0, 0], [0, 0]]
Majiwada 	    [[0, 0], [0, 0], [0, 0], [0, 0], [13.375241079539494, 152], [0, 0], [0, 0], [13.505558754318193, 132], [12.864220096061635, 584], [12.681446959254375, 228], [0, 0], [0, 0]]
Kashmimira   	[[23.673824283859606, 228], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [23.67098057890346, 456], [0, 0]]
DahisarEast 	[[13.47875175367024, 558], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [15.003018515062488, 224], [0, 0], [0, 0], [0, 0], [14.224615191519412, 1596], [0, 0]]
LinkRd 	        [[11.245571040000002, 204], [0, 0], [0, 0], [0, 0], [11.245571040000023, 228], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [11.245571039999998, 112], [11.245571039999998, 110]]
Poisar 	        [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [8.573113098715059, 186], [0, 0]]
Charkop 	    [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [22.518953865000015, 456], [0, 0], [9.693333333500023, 228], [0, 0]]
Orlem 	        [[8.654377940519607, 102], [8.400662009929823, 228], [0, 0], [0, 0], [8.405259431706137, 456], [10.25209847184221, 488], [8.411387120666664, 144], [8.462745244995325, 428], [0, 0], [13.309845632222617, 1990], [0, 0], [8.401767694459428, 912]]
GoregaonWest 	[[0, 0], [0, 0], [0, 0], [0, 0], [13.58709531272661, 684], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
Oshiwara 	    [[0, 0], [0, 0], [0, 0], [0, 0], [14.925785443604916, 772], [16.200000000000003, 146], [0, 0], [17.795566287463235, 272], [14.692674330000026, 506], [0, 0], [0, 0], [0, 0]]
JogeshwariWest 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [22.067714725, 456], [0, 0], [0, 0]]
AndheriWest 	[[0, 0], [12.645324798640353, 228], [0, 0], [0, 0], [0, 0], [12.962419192567557, 296], [0, 0], [0, 0], [12.646344298026316, 912], [12.736115987009814, 204], [0, 0], [0, 0]]
Sahar 	        [[0, 0], [0, 0], [0, 0], [0, 0], [17.64792592409722, 144], [0, 0], [21.987972177830986, 710], [0, 0], [0, 0], [14.97493548052633, 228], [10.046357305043113, 116], [14.998730681754399, 228]]
VileParleEast 	[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [16.563093543585858, 1188], [17.02967153822506, 862], [23.14948148499999, 170], [15.32095987611844, 912], [16.57499537109651, 228], [18.41206889622808, 114], [23.149481484999974, 106]]
BOM 	        [[0, 0], [0, 0], [0, 0], [0, 0], [11.569273745000006, 228], [0, 0], [0, 0], [0, 0], [0, 0], [11.569273745000006, 456], [11.569273745000006, 228], [0, 0]]
SantaCruzEast 	[[0, 0], [0, 0], [0, 0], [0, 0], [14.795266876282057, 312], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [14.292194441438076, 904], [0, 0]]
BandraWest 	    [[11.786331504999989, 456], [11.663010649999984, 456], [11.786331504999989, 228], [0, 0], [11.786331504999989, 1140], [11.786331504999989, 228], [11.786331504999994, 352], [11.786331504999994, 214], [11.786331504999989, 228], [0, 0], [11.786331504999989, 456], [11.786331504999989, 1140]]
BandraKurla 	[[0, 0], [0, 0], [0, 0], [0, 0], [24.23896104, 916], [0, 0], [0, 0], [24.23896104000002, 218], [20.282717795794255, 4520], [20.169270675000007, 202], [0, 0], [20.169270675000007, 192]]
