SER,LAT1,LNG1,LAT2,LNG2
301,19.188793,72.835627,19.184403,72.835866
302,19.180104,72.836491,19.174906,72.837101
303,19.173861,72.836987,19.173966,72.841799
304,19.173966,72.841799,19.173632,72.844561
305,19.173683,72.845859,19.172761,72.852657
306,19.173849,72.857407,19.174294,72.859137
307,19.174532,72.860233,19.175745,72.867832
308,19.173622,72.836627,19.168995,72.835298
309,19.167852,72.835189,19.162594,72.834794
310,19.161492,72.834816,19.156685,72.835255
311,19.150941,72.836011,19.146958,72.836596
312,19.084279,72.835999,19.085382,72.83016
313,19.085968,72.827769,19.089578,72.82743
314,19.091876,72.827767,19.096236,72.82793
315,19.099095,72.827561,19.104427,72.826683
316,19.104711,72.827697,19.102763,72.836203
317,19.103323,72.836785,19.108332,72.836792
318,19.10844,72.837226,19.108161,72.840025
319,19.116283,72.844129,19.115402,72.848161
320,19.11526,72.85046,19.113477,72.853744
321,19.051048,72.838165,19.053727,72.837842
322,19.054158,72.83803,19.05431,72.839317
323,19.054637,72.837657,19.054637,72.837657
324,19.059471,72.836736,19.059355,72.83439
325,19.059532,72.837183,19.057211,72.838696
326,19.05219,72.823999,19.054616,72.82481
327,19.054773,72.825591,19.055202,72.830167
328,19.05539,72.831218,19.056118,72.835054
329,19.055641,72.835789,19.054264,72.837613
330,19.055619,72.837307,19.059373,72.83677
331,19.059794,72.836643,19.064695,72.834606
332,19.06639,72.833935,19.070515,72.83387
333,19.079017,72.834356,19.084384,72.83448
334,19.065613,72.837216,19.069125,72.837246
335,19.069732,72.837251,19.075637,72.837561
336,19.080433,72.837778,19.083951,72.837913
337,19.055482,72.831671,19.056123,72.835
338,19.06067,72.822248,19.065498,72.823117
339,19.067958,72.822509,19.072652,72.82179
340,19.092417,72.847011,19.092888,72.84955
341,19.093355,72.850678,19.095855,72.85247
342,19.098123,72.853315,19.106977,72.853249
343,19.103398,72.836788,19.108345,72.836789
344,19.108457,72.837098,19.108157,72.840089
345,19.110207,72.837028,19.115849,72.834026
346,19.130539,72.820415,19.129177,72.826649
347,19.128432,72.829956,19.127275,72.835857
348,19.127042,72.837399,19.124906,72.841771
349,19.123193,72.844218,19.122546,72.845485
350,18.92637,72.819154,18.934148,72.823689
351,18.929537,72.821961,18.927055,72.826268
352,18.926803,72.826661,18.925823,72.830313
353,18.926724,72.82806,18.931717,72.828178
354,18.909982,72.81752,18.914522,72.821746
355,18.914317,72.821389,18.916706,72.818313
356,18.91554,72.822567,18.918664,72.82527
357,18.935882,72.830511,18.941103,72.829682
358,18.943128,72.82996,18.939976,72.834551
359,18.940331,72.834741,18.943819,72.834361
360,18.932323,72.831159,18.928637,72.831287
361,18.949164,72.840537,18.956923,72.842454
