LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2
"Goregaon , Mumbai","Wadala, Mumbai",19.1551485,72.8678551,19.0151285,72.8580644
"Worli Naka , Mumbai","Mahim, Mumbai",19.000633,72.81681209999999,19.0351534,72.8404432
"Parel , Mumbai","Andheri, Mumbai",18.9944898,72.83899050000001,19.1171389,72.846563
"Bandra , Mumbai","Andheri, Mumbai",19.0606917,72.8362497,19.1171389,72.846563
"Ghansoli flyover, Mumbai","Vashi, Mumbai",19.1123059,73.0077845,19.0770644,72.9989925
"jarimari , Mumbai","sakinaka, Mumbai",19.0940508,72.8831854,19.0948958,72.8865248
"CST Road, Mumbai","Juhu, Mumbai",19.0773967,72.8603293,19.098821,72.8320717
"Akruli , Mumbai","Goregaon, Mumbai",19.2032063,72.8799241,19.1551485,72.8678551
"Wadala , Mumbai","Wadala, Mumbai",19.0151285,72.8580644,19.0151285,72.8580644
"Andheri flyover, Mumbai","Airport, Mumbai",19.1150205,72.84951339999999,19.0901765,72.8687391
"Chembur , Mumbai","Infiniti Mall, Mumbai",19.0327996,72.89635679999999,19.1412664,72.83094919999999
"WEH , Mumbai","Borivali, Mumbai",19.0759837,72.8776559,19.2371877,72.8441358
"Bandra , Mumbai","andheri, Mumbai",19.0606917,72.8362497,19.1171389,72.846563
"Kherwadi flyover, Mumbai","Andheri, Mumbai",19.1150205,72.84951339999999,19.1171389,72.846563
"Worli , Mumbai","Malad, Mumbai",18.9872015,72.8290456,19.1867884,72.8488709
"Chandivali , Mumbai","Powai, Mumbai",19.1074911,72.90176029999999,19.1196773,72.9050809
"Kanjur , Mumbai","EEH, Mumbai",19.1282039,72.928065,19.0759837,72.8776559
"andheri east, Mumbai","amboli andheri, Mumbai",19.1154908,72.8726952,19.1257992,72.8448476
"Vashi , Mumbai","Mankhurd, Mumbai",19.0770644,72.9989925,19.0558482,72.9281589
"Thane , Mumbai","Kopri, Mumbai",19.0759837,72.8776559,19.1816553,72.9711542
"Bandra , Mumbai","Lilavati, Mumbai",19.0606917,72.8362497,19.0242551,72.8520769
"LBS Marg , Mumbai","Kalina, Mumbai",19.1060578,72.9225697,19.076277,72.8653997
"Andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497
"Khar , Mumbai","Andheri, Mumbai",19.0716903,72.8341267,19.1171389,72.846563
"Borivali , Mumbai","JVLR, Mumbai",19.2371877,72.8441358,19.1247111,72.8957516
"Thakur flyover, Mumbai","Borivali, Mumbai",18.9512746,72.8318182,19.2371877,72.8441358
"Mumbai , Mumbai","Goregaon, Mumbai",19.0176169,72.8561288,19.1551485,72.8678551
"SCLR , Mumbai","kalina, Mumbai",19.0751712,72.8723361,19.076277,72.8653997
"Deonar , Mumbai","kalanagar, Mumbai",19.0568324,72.9171241,19.0531331,72.84712309999999
"Marve , Mumbai","Dindoshi, Mumbai",19.1918039,72.7991092,19.1762177,72.8616978
"Mahim , Mumbai","Santacruz, Mumbai",19.0351534,72.8404432,19.0825552,72.84176269999999
"Ghatkopar , Mumbai","Vashi, Mumbai",19.0856491,72.9082207,19.0770644,72.9989925
"Pedder Road, Mumbai","Haji Ali, Mumbai",18.9714675,72.8095069,18.9778192,72.8104819
"Kherwadi , Mumbai","Vile Parle, Mumbai",19.0586788,72.84437679999999,19.1030524,72.8466914
"Versova , Mumbai","Bandra , Mumbai",19.1350852,72.8146101,19.0606917,72.8362497
"Kandivali , Mumbai","JVLR, Mumbai",19.2045159,72.8520095,19.1247111,72.8957516
"Andheri-Ghatkopar link Road, Mumbai","Ghatkopar, Mumbai",19.0856491,72.9082207,19.0856491,72.9082207
"Vashi Gaon , Mumbai","Mankhurd, Mumbai",19.0326454,72.88845169999999,19.0558482,72.9281589
"Kandivali east, Mumbai","Kandivali, Mumbai",19.2114533,72.87372169999999,19.2045159,72.8520095
"Lower Parel , Mumbai","Andheri, Mumbai",18.9927476,72.8310679,19.1171389,72.846563
"andheri , Mumbai","thane, Mumbai",19.1171389,72.846563,19.0759837,72.8776559
"Dadabhai Naoroji Road, Mumbai","CST, Mumbai",18.9325,72.8317,18.9409708,72.8346536
"kandivali , Mumbai","worli, Mumbai",19.2045159,72.8520095,18.9872015,72.8290456
"Amar Mahal , Mumbai","Chembur, Mumbai",19.0645719,72.8996193,19.0327996,72.89635679999999
"Suman Nagar , Mumbai","Amar Mahal, Mumbai",19.0519864,72.88477790000002,19.0645719,72.8996193
"Mumbai , Mumbai","Bangalore, Mumbai",19.0176169,72.8561288,13.0422952,77.59015509999999
"Vakola , Mumbai","Goregaon, Mumbai",19.0788783,72.85003069999999,19.1551485,72.8678551
"Mahim , Mumbai","Worli, Mumbai",19.0351534,72.8404432,18.9872015,72.8290456
"Ghatkopar , Mumbai","Ghatkopar, Mumbai",19.0856491,72.9082207,19.0856491,72.9082207
"Vidyavihar east, Mumbai","Kharghar, Mumbai",19.079961,72.89876699999999,19.0473216,73.0699046
