LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2
"andheri , Mumbai","khar, Mumbai",19.1171389,72.846563,19.0716903,72.8341267
"WEH , Mumbai","Goregaon, Mumbai",19.0759837,72.8776559,19.1551485,72.8678551
"Dadar , Mumbai","Sion, Mumbai",19.021324,72.84241779999999,19.0390214,72.86189519999999
"Grant Road, Mumbai","Kalina, Mumbai",18.9629992,72.8175748,19.076277,72.8653997
"Goregaon , Mumbai","Dadar, Mumbai",19.1551485,72.8678551,19.021324,72.84241779999999
"Bandra , Mumbai","Goregaon, Mumbai",19.0606917,72.8362497,19.1551485,72.8678551
"Kalyan , Mumbai","CST, Mumbai",18.963397,72.82074899999999,18.9409708,72.8346536
"Chandani Chowk , Mumbai","Balewadi, Mumbai",18.507643,73.78396,18.5750146,73.76641289999999
"Andheri , Mumbai","Churchgate, Mumbai",19.1171389,72.846563,18.9322453,72.8264378
"Bandra/Sion , Mumbai","Thane, Mumbai",19.0547926,72.84065489999999,19.0759837,72.8776559
"Marol , Mumbai","Borivali, Mumbai",19.1173012,72.8840395,19.2371877,72.8441358
"chembur , Mumbai","Motori, Mumbai",19.0327996,72.89635679999999,19.0759837,72.8776559
"Wadala , Mumbai","Nerul, Mumbai",19.0151285,72.8580644,19.033,73.02
"KEMPS , Mumbai","Haji Ali, Mumbai",18.9640679,72.808221,18.9778192,72.8104819
"Andheri , Mumbai","boriwali, Mumbai",19.1171389,72.846563,19.2371877,72.8441358
"Malad , Mumbai","Khar, Mumbai",19.1867884,72.8488709,19.0716903,72.8341267
"Thane , Mumbai","Ghatkopar, Mumbai",19.0759837,72.8776559,19.0856491,72.9082207
"Malad , Mumbai","Orlam, Mumbai",19.1867884,72.8488709,19.195491,72.8375161
"Chheda nagar , Mumbai","Navi Mumbai, Mumbai",19.0689601,72.9047477,19.0330488,73.0296625
"Mulund , Mumbai","Kanjurmarg, Mumbai",19.1565109,72.9637728,19.1209644,72.93719709999999
"Bandra , Mumbai","Saki Naka, Mumbai",19.0606917,72.8362497,19.0948958,72.8865248
"WEH , Mumbai","Lilavati, Mumbai",19.0759837,72.8776559,19.0242551,72.8520769
"Kings , Mumbai","Sion, Mumbai",19.0322606,72.857225,19.0390214,72.86189519999999
"Bandra , Mumbai","Worli, Mumbai",19.0606917,72.8362497,18.9872015,72.8290456
"Ulhasnagar , Mumbai","Karjat, Mumbai",19.24436,73.12589899999999,18.8204918,73.3076799
"Kharghar , Mumbai","Belapur, Mumbai",19.0473216,73.0699046,19.0189704,73.0392364
"ghatkopar , Mumbai","CST, Mumbai",19.0856491,72.9082207,18.9409708,72.8346536
"andheri , Mumbai","bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497
"Mumbai , Mumbai","nahur, Mumbai",19.0176169,72.8561288,19.1546597,72.9466564
"Ceaser Road, Mumbai","Andheri, Mumbai",19.1280018,72.8434699,19.1171389,72.846563
"Andheri , Mumbai","Malad, Mumbai",19.1171389,72.846563,19.1867884,72.8488709
"BWSL , Mumbai","haji ali dargah, Mumbai",19.0457193,72.8292998,18.982747,72.8089648
"Vikhroli , Mumbai","Powai, Mumbai",19.091182,72.92086359999999,19.1196773,72.9050809
"JVLR , Mumbai","Andheri, Mumbai",19.1247111,72.8957516,19.1171389,72.846563
"Oshiwara , Mumbai","Bandra, Mumbai",19.1483497,72.84047029999999,19.0606917,72.8362497
"Worli, Mumbai","Haji Ali, Mumbai",18.9872015,72.8290456,18.9778192,72.8104819
"mahavir nagar , Mumbai","yogi nagar, Mumbai",19.1939104,72.84563109999999,19.2352291,72.8417576
"Lonavala , Mumbai","Mumbai, Mumbai",18.7493892,73.4080759,19.0176169,72.8561288
"Chembur , Mumbai","Kalina, Mumbai",19.0327996,72.89635679999999,19.076277,72.8653997
"Airoli , Mumbai","Kandivli, Mumbai",19.157935,72.9934762,19.2045159,72.8520095
"Thane , Mumbai","Kasara, Mumbai",19.0759837,72.8776559,18.9735464,72.8463356
"Peddar , Mumbai","Chowpatty, Mumbai",18.9682454,72.80734989999999,18.9547494,72.81388179999999
"bandra , Mumbai","Mehboob studio, Mumbai",19.0606917,72.8362497,19.0525804,72.8242037
"Mahim , Mumbai","Vile Parle, Mumbai",19.0351534,72.8404432,19.1030524,72.8466914
"Tardeo , Mumbai","Andheri, Mumbai",18.9649699,72.80918249999999,19.1171389,72.846563
"WEH , Mumbai","Andheri, Mumbai",19.0759837,72.8776559,19.1171389,72.846563
"Andheri east, Mumbai","Goregaon, Mumbai",19.1154908,72.8726952,19.1551485,72.8678551
"Altamont Road, Mumbai","Ballard, Mumbai",18.9660815,72.8089076,18.9360163,72.8384374
"Andheri Infinity , Mumbai","Borivali, Mumbai",19.1412664,72.83094919999999,19.2371877,72.8441358
"kandivali , Mumbai","andheri, Mumbai",19.2045159,72.8520095,19.1171389,72.846563
"Goregaon , Mumbai","Andheri, Mumbai",19.1551485,72.8678551,19.1171389,72.846563
"worli , Mumbai","colaba, Mumbai",18.9872015,72.8290456,18.9067031,72.8147123
"Dinshaw Wachha Road, Mumbai","Oval Maidan, Mumbai",18.930752,72.8242405,18.9334056,72.8292074
"Hindmata , Mumbai","Parel, Mumbai",19.0098135,72.84197750000001,18.9944898,72.83899050000001
"EEH , Mumbai","Dadar, Mumbai",19.0759837,72.8776559,19.021324,72.84241779999999
"Bandra , Mumbai","Vashi, Mumbai",19.0606917,72.8362497,19.0770644,72.9989925
"Borivali , Mumbai","Andheri, Mumbai",19.2371877,72.8441358,19.1171389,72.846563
"Bhivandi Rd, Mumbai","Vasai, Mumbai",19.2251921,72.9955839,19.3919275,72.8397317
"Aarey , Mumbai","Goregaon, Mumbai",19.1509735,72.8758099,19.1551485,72.8678551
"Airoli , Mumbai","thane, Mumbai",19.157935,72.9934762,19.0759837,72.8776559
"Mumbai , Mumbai","Mumbai-Pune, Mumbai",19.0176169,72.8561288,19.2014158,73.0007083
"Oshiwara , Mumbai","Powai, Mumbai",19.1483497,72.84047029999999,19.1196773,72.9050809
"Vikhroli , Mumbai","Jogeshwari, Mumbai",19.091182,72.92086359999999,19.1405116,72.8421555
"kandivli thakur complex , Mumbai","magathane, Mumbai",19.2045159,72.8520095,19.2202063,72.8666866
