SER,LAT1,LNG1,LAT2,LNG2,Distance,Speed,Condition,TIME
101,18.985979,72.842415,18.984843,72.842265,0.134,16.08,None,Monday 02:58 13-07-2015
102,18.98851,72.845328,18.989499,72.846675,0.193,28.950000000000003,Medium,Monday 02:58 13-07-2015
103,18.992144,72.849907,18.99308,72.851025,0.154,29.178947368421053,Medium,Monday 02:58 13-07-2015
104,18.995918,72.852686,18.9969,72.852956,0.114,22.8,Mild,Monday 02:58 13-07-2015
105,18.998338,72.853211,18.999139,72.853412,0.101,27.96923076923077,None,Monday 02:58 13-07-2015
106,18.99988,72.853681,18.99884,72.853442,0.117,15.042857142857144,None,Monday 02:58 13-07-2015
107,19.004161,72.853844,19.006288,72.853953,0.235,15.666666666666666,None,Monday 02:58 13-07-2015
108,19.009562,72.854195,19.008717,72.854141,0.093,33.48,Medium,Monday 02:58 13-07-2015
109,19.008928,72.854077,19.009622,72.854139,0.069,16.560000000000002,None,Monday 02:58 13-07-2015
110,18.980134,72.829933,18.980302,72.82931,0.068,24.48,Mild,Monday 02:58 13-07-2015
111,18.980234,72.829833,18.980019,72.830694,0.094,28.2,None,Monday 02:58 13-07-2015
112,18.979434,72.832015,18.979967,72.831963,0.06,27.0,None,Monday 02:58 13-07-2015
113,18.980424,72.832042,18.979926,72.832075,0.055,39.599999999999994,None,Monday 02:58 13-07-2015
114,18.981645,72.8319,18.986078,72.831736,0.508,30.996610169491525,None,Monday 02:58 13-07-2015
115,18.986806,72.831709,18.98938,72.831597,0.306,21.184615384615384,None,Monday 02:58 13-07-2015
116,18.991759,72.831597,18.99007,72.831669,0.196,23.52,None,Monday 02:58 13-07-2015
117,18.991407,72.831492,18.993395,72.831401,0.225,21.315789473684212,None,Monday 02:58 13-07-2015
118,18.995505,72.831283,18.998777,72.831127,0.973,18.24375,None,Monday 02:58 13-07-2015
119,18.998797,72.831253,18.994911,72.831439,0.437,26.22,Mild,Monday 02:58 13-07-2015
120,18.999121,72.831139,19.000509,72.831064,0.293,20.284615384615385,None,Monday 02:58 13-07-2015
121,18.959122,72.831638,18.960396,72.831687,0.144,30.49411764705882,None,Monday 02:58 13-07-2015
122,18.961072,72.831848,18.963785,72.831955,0.304,11.054545454545455,None,Monday 02:58 13-07-2015
123,18.963863,72.832194,18.961721,72.832099,0.237,12.188571428571429,None,Monday 02:58 13-07-2015
124,18.966878,72.832614,18.968138,72.832635,0.14,36.0,None,Monday 02:58 13-07-2015
125,18.968265,72.832735,18.967222,72.832733,0.509,15.796551724137933,None,Monday 02:58 13-07-2015
126,18.979472,72.833894,18.982138,72.834621,0.308,36.96,None,Monday 02:58 13-07-2015
127,18.982471,72.834989,18.980244,72.834313,0.261,33.557142857142864,None,Monday 02:58 13-07-2015
128,18.984809,72.835491,18.983471,72.835265,0.154,32.61176470588235,None,Monday 02:58 13-07-2015
129,18.988133,72.835669,18.989542,72.83567,0.16,33.88235294117647,None,Monday 02:58 13-07-2015
130,18.990906,72.835803,18.988778,72.835943,0.236,40.457142857142856,None,Monday 02:58 13-07-2015
131,19.002742,72.81218,19.010732,72.815844,0.982,38.42608695652174,Heavy,Monday 02:58 13-07-2015
132,19.013612,72.816962,19.006101,72.813952,0.903,45.15,Mild,Monday 02:58 13-07-2015
133,18.990007,72.81385,18.99601,72.815905,0.727,20.13230769230769,None,Monday 02:58 13-07-2015
134,18.996522,72.816297,18.989613,72.813998,1.426,15.143362831858404,None,Monday 02:58 13-07-2015
135,19.002768,72.815697,19.008386,72.819078,0.734,41.2875,None,Monday 02:58 13-07-2015
136,19.010575,72.820358,19.013062,72.823642,0.576,12.416766467065868,None,Monday 02:58 13-07-2015
137,19.012794,72.824339,19.010065,72.820214,0.581,28.652054794520545,None,Monday 02:58 13-07-2015
138,19.000301,72.818103,19.002358,72.819301,0.281,14.876470588235295,Medium,Monday 02:58 13-07-2015
139,19.0029,72.819712,18.99967,72.817877,0.418,18.577777777777776,Medium,Monday 02:58 13-07-2015
