SER,LAT1,LNG1,LAT2,LNG2
1,18.928894,72.82123,18.93065,72.822389
2,18.936343,72.824052,18.938941,72.824073
3,18.942878,72.823247,18.945253,72.822142
4,18.955284,72.813328,18.955994,72.810957
5,18.956,72.808167,18.954874,72.807652
6,18.951327,72.802633,18.951327,72.802633
7,18.948713,72.799082,18.948459,72.798561
8,18.948436,72.797315,18.949085,72.796031
9,18.950108,72.796269,18.949382,72.79782
10,18.955423,72.798752,18.954404,72.79817
11,18.958878,72.800716,18.956839,72.799632
12,18.961283,72.801633,18.960705,72.801081
13,18.964621,72.804841,18.964003,72.803307
14,18.964789,72.804229,18.965824,72.803618
15,18.966946,72.80343,18.968098,72.803376
16,18.971493,72.804716,18.971969,72.804874
17,18.972104,72.805066,18.971657,72.804849
18,18.972297,72.805041,18.972875,72.80535
19,18.973796,72.805936,18.973071,72.805582
20,18.974724,72.806247,18.975446,72.806761
21,18.976087,72.807383,18.975684,72.807026
22,18.97645,72.808619,18.976967,72.809319
23,18.976762,72.809317,18.976156,72.809057
24,18.977678,72.811138,18.977693,72.810336
25,18.978048,72.81202,18.97748,72.811573
26,18.978162,72.812147,18.97837,72.813426
27,18.979868,72.812791,18.978879,72.811941
28,18.98071,72.813269,18.981651,72.814084
29,18.983092,72.815113,18.98225,72.814737
30,18.987883,72.813882,18.986868,72.813963
31,18.986724,72.813879,18.988005,72.81374
32,18.990721,72.814103,18.989468,72.813988
33,18.990229,72.813881,18.991522,72.813982
34,18.954466,72.807438,18.953457,72.806617
35,18.952005,72.803763,18.951531,72.803066
36,18.950762,72.801824,18.951323,72.802454
37,18.950328,72.795877,18.949412,72.797768
38,18.964065,72.807131,18.964598,72.805205
39,18.970136,72.809511,18.968645,72.808739
40,18.969264,72.808546,18.970304,72.807639
41,18.972744,72.809281,18.973911,72.809147
42,18.976006,72.809055,18.975113,72.809125
43,18.976356,72.808626,18.976341,72.807913
44,18.976757,72.809152,18.977376,72.809667
45,18.956838,72.808349,18.957833,72.808956
46,18.958579,72.810146,18.959685,72.809513
47,18.957528,72.811734,18.958482,72.810232
48,18.958533,72.810356,18.957868,72.811402
49,18.957214,72.812501,18.956427,72.813789
50,18.956454,72.814203,18.956454,72.814203
51,18.955434,72.816025,18.956464,72.815657
52,18.960663,72.808893,18.962453,72.807965
53,18.963618,72.807614,18.96465,72.807447
54,18.965672,72.807481,18.96499,72.807512
55,18.967609,72.808049,18.968753,72.808679
56,18.956996,72.81601,18.957341,72.817174
57,18.957709,72.818437,18.958018,72.819451
58,18.957955,72.820221,18.9578,72.819019
59,18.958134,72.8217,18.958163,72.823554
60,18.958164,72.82549,18.958174,72.827121
61,18.958159,72.82788,18.958192,72.829009
62,18.958024,72.828711,18.958032,72.82792
63,18.964841,72.812821,18.966307,72.813336
64,18.968975,72.815186,18.969346,72.816511
65,18.968928,72.820706,18.970212,72.82118
66,18.973778,72.822758,18.975919,72.823617
67,18.978836,72.824663,18.980487,72.826213
68,18.981897,72.824993,18.98144,72.826044
69,18.981643,72.826454,18.982328,72.826082
70,18.981524,72.827128,18.982447,72.827935
71,18.982929,72.828525,18.981849,72.827551
72,18.98091,72.826409,18.981423,72.826623
73,18.980939,72.827356,18.98075,72.827981
74,18.979483,72.818544,18.979879,72.820695
75,18.981878,72.823192,18.983364,72.824286
76,18.985476,72.824405,18.984449,72.824802
77,18.988847,72.822479,18.991728,72.82094
78,18.989744,72.822119,18.98772,72.823216
79,18.989781,72.823019,18.990971,72.823641
80,18.994643,72.825702,18.99334,72.825021
81,18.997869,72.827358,18.997189,72.826998
82,18.997969,72.827252,18.998512,72.827552
83,19.000479,72.828728,18.999816,72.828368
84,19.001822,72.829428,19.001286,72.829157
85,19.004981,72.831123,19.003655,72.830463
86,19.009341,72.833666,19.008605,72.832925
87,18.957514,72.834702,18.957983,72.835176
88,18.958069,72.835303,18.95786,72.835142
89,18.941606,72.838689,18.943915,72.83926
90,18.945818,72.839847,18.944582,72.839528
91,18.951914,72.841242,18.953658,72.841663
92,18.955012,72.842009,18.956268,72.842291
93,18.960712,72.843383,18.962051,72.8437
94,18.963129,72.844067,18.961524,72.843689
95,18.964863,72.843729,18.96582,72.844158
96,18.969111,72.845333,18.967911,72.845033
97,18.975448,72.844308,18.976864,72.843981
98,18.976039,72.842607,18.976075,72.844007
99,18.975834,72.843889,18.975882,72.842248
100,18.984813,72.842128,18.985801,72.842206
