LAT1,LNG1,LAT2,LNG2
19.1150205,72.8495134,19.112994, 72.8544942
19.112994,72.8544942,19.1653208, 72.858337
19.1653208,72.858337,19.1742352, 72.8593629
19.1742352,72.8593629,19.1913532, 72.8585039
19.1913532,72.8585039,19.2059751, 72.8655973
19.2059751,72.8655973,19.231798, 72.863565
19.074101,72.849603,19.074273, 72.860573
19.074273,72.860573,19.07115, 72.862767
19.072722,72.866866,19.075435, 72.872941
19.0759837,72.8776559,19.068155, 72.88838
19.0759837,72.8776559,19.086501, 72.888839
19.053133,72.847123,19.064068, 72.860228
19.0986,72.917179,19.135034, 72.928936
19.135034,72.928936,19.183695, 72.95277
19.194576,72.872567,19.1997, 72.8735
19.2597254,72.9695364,19.263687, 72.977528
19.2597254,72.9695364,19.211007, 72.97715
19.137949,72.872152,19.126206, 72.890653
19.126206,72.890653,19.119658, 72.902401
19.119658,72.902401,19.123749, 72.909776
19.104641,72.886839,19.110615, 72.872209
19.095328,72.897797,19.104641, 72.886839
19.113308,72.890552,19.11404, 72.899275
19.128609,72.920865,19.1254163, 72.9242804
19.1254163,72.9242804,19.129507, 72.925716
19.129507,72.925716,19.135034, 72.928936
19.051126,72.937031,19.047252, 72.927762
19.047252,72.927762,19.04355, 72.923374
19.04355,72.923374,19.045639, 72.911824
19.046846,72.909507,19.058789, 72.913376
19.062699,72.914181,19.053215, 72.935744
19.062699,72.914181,19.068483, 72.9097
18.998923,72.853306,19.0160273, 72.8588404
19.211007,72.97715,19.188179, 72.963802
19.188179,72.963802,19.1822842, 72.9660413
19.1822842,72.9660413,19.143882, 72.949908
19.143882,72.949908,19.1165, 72.9356
19.1165,72.9356,19.104216, 72.930572
19.104216,72.930572,19.0689601, 72.9047477
19.017666,72.84769,18.9558908, 72.8328534
