LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2,LAT1_NEAR,LNG1_NEAR,LAT2_NEAR,LNG2_NEAR
"Santacruz , Mumbai","Bandra, Mumbai",19.0825552,72.8417627,19.0606917,72.8362497,19.083041,72.840814,19.059348,72.833521
"Thane , Mumbai","Chakala, Mumbai",19.0759837,72.8776559,19.1097712,72.8582672,19.075357,72.878716,19.108798,72.85547
"Thane , Mumbai","Borivali, Mumbai",19.0759837,72.8776559,19.2371877,72.8441358,19.075357,72.878716,19.241261,72.84643
"andheri , Mumbai","Goregaon, Mumbai",19.1171389,72.846563,19.1551485,72.8678551,19.114485,72.84749,19.151824,72.871753
"Suman , Mumbai","Ghatkophar, Mumbai",19.0533939,72.8833811,19.0856491,72.9082207,19.054049,72.881361,19.08884,72.907007
"Dadar TT , Mumbai","plaza, Mumbai",19.0185028,72.8480673,19.1135989,72.8586203,19.014153,72.852038,19.1154,72.860641
"Andheri WEH , Mumbai","Borivali, Mumbai",19.0759837,72.8776559,19.2371877,72.8441358,19.075357,72.878716,19.241261,72.84643
"Sewri , Mumbai","Wadala, Mumbai",18.9988745,72.854548,19.0151285,72.8580644,19.000324,72.853659,19.013655,72.855231
"andheri flyover, Mumbai","andheri, Mumbai",19.1150205,72.8495134,19.1171389,72.846563,19.11168,72.849467,19.114485,72.84749
"Rabale , Mumbai","Powai, Mumbai",19.1366934,73.003076,19.1196773,72.9050809,19.132793,73.000666,19.123749,72.909776
"thane , Mumbai","vikhroli, Mumbai",19.0759837,72.8776559,19.091182,72.9208636,19.075357,72.878716,19.086808,72.919285
"Kemps , Mumbai","Juhu, Mumbai",18.9640679,72.808221,19.098821,72.8320717,18.964068,72.808221,19.103247,72.836766
"Mumbai , Mumbai","Delhi, Mumbai",19.0176169,72.8561288,13.0209342,77.6348114,19.014153,72.852038,13.017841,77.636403
"kalwa , Mumbai","thane, Mumbai",19.1943854,72.9992013,19.0759837,72.8776559,19.198796,72.995291,19.075357,72.878716
"Thane , Mumbai","Belapur, Mumbai",19.0759837,72.8776559,19.0189704,73.0392364,19.075357,72.878716,19.019338,73.041132
"Andheri , Mumbai","Vile, Mumbai",19.1171389,72.846563,19.0994699,72.8439751,19.114485,72.84749,19.102963,72.846091
"Lokhandwala , Mumbai","Bandra, Mumbai",18.957047,72.827823,19.0606917,72.8362497,18.957648,72.826899,19.059348,72.833521
"SCLR , Mumbai","EEH, Mumbai",19.0751712,72.8723361,19.0759837,72.8776559,19.071427,72.872137,19.075357,72.878716
"WEH , Mumbai","Jogeshwari, Mumbai",19.0759837,72.8776559,19.1405116,72.8421555,19.075357,72.878716,19.143995,72.841998
"Mankhurd , Mumbai","mumbai, Mumbai",19.0558482,72.9281589,19.0176169,72.8561288,19.058914,72.924533,19.014153,72.852038
"bandra , Mumbai","Andheri, Mumbai",19.0606917,72.8362497,19.1171389,72.846563,19.059348,72.833521,19.114485,72.84749
"Goregaon , Mumbai","Wadala, Mumbai",19.1551485,72.8678551,19.0151285,72.8580644,19.151824,72.871753,19.013655,72.855231
"Worli Naka , Mumbai","Mahim, Mumbai",19.000633,72.8168121,19.0351534,72.8404432,18.998624,72.818104,19.031667,72.842153
"Parel , Mumbai","Andheri, Mumbai",18.9944898,72.8389905,19.1171389,72.846563,18.997481,72.840563,19.114485,72.84749
"Bandra , Mumbai","Andheri, Mumbai",19.0606917,72.8362497,19.1171389,72.846563,19.059348,72.833521,19.114485,72.84749
"Ghansoli flyover, Mumbai","Vashi, Mumbai",19.1123059,73.0077845,19.0770644,72.9989925,19.114209,73.006241,19.078352,72.998238
"jarimari , Mumbai","sakinaka, Mumbai",19.0940508,72.8831854,19.0948958,72.8865248,19.097743,72.887815,19.099122,72.887805
"CST Road, Mumbai","Juhu, Mumbai",19.0773967,72.8603293,19.098821,72.8320717,19.074858,72.860515,19.103247,72.836766
"Akruli , Mumbai","Goregaon, Mumbai",19.2032063,72.8799241,19.1551485,72.8678551,19.200921,72.878859,19.151824,72.871753
"Wadala , Mumbai","Wadala, Mumbai",19.0151285,72.8580644,19.0151285,72.8580644,19.013655,72.855231,19.013655,72.855231
"Andheri flyover, Mumbai","Airport, Mumbai",19.1150205,72.8495134,19.0901765,72.8687391,19.11168,72.849467,19.013655,72.855231
"Chembur , Mumbai","Infiniti Mall, Mumbai",19.0327996,72.8963568,19.1412664,72.8309492,19.034365,72.895869,19.142416,72.831321
"WEH , Mumbai","Borivali, Mumbai",19.0759837,72.8776559,19.2371877,72.8441358,19.075357,72.878716,19.241261,72.84643
"Bandra , Mumbai","andheri, Mumbai",19.0606917,72.8362497,19.1171389,72.846563,19.059348,72.833521,19.114485,72.84749
"Kherwadi flyover, Mumbai","Andheri, Mumbai",19.1150205,72.8495134,19.1171389,72.846563,19.11168,72.849467,19.114485,72.84749
"Worli , Mumbai","Malad, Mumbai",18.9872015,72.8290456,19.1867884,72.8488709,18.983369,72.824445,19.188709,72.846419
"Chandivali , Mumbai","Powai, Mumbai",19.1074911,72.9017603,19.1196773,72.9050809,19.108159,72.89713,19.123749,72.909776
"Kanjur , Mumbai","EEH, Mumbai",19.1282039,72.928065,19.0759837,72.8776559,19.129507,72.925716,19.075357,72.878716
"andheri east, Mumbai","amboli andheri, Mumbai",19.1154908,72.8726952,19.1257992,72.8448476,19.111942,72.868469,19.127976,72.84408
"Vashi , Mumbai","Mankhurd, Mumbai",19.0770644,72.9989925,19.0558482,72.9281589,19.078352,72.998238,19.058914,72.924533
"Thane , Mumbai","Kopri, Mumbai",19.0759837,72.8776559,19.1816553,72.9711542,19.075357,72.878716,19.180974,72.973241
"Bandra , Mumbai","Lilavati, Mumbai",19.0606917,72.8362497,19.0242551,72.8520769,19.059348,72.833521,19.021898,72.850698
"LBS Marg , Mumbai","Kalina, Mumbai",19.1060578,72.9225697,19.076277,72.8653997,19.11005,72.925278,19.071737,72.861408
"Andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497,19.114485,72.84749,19.059348,72.833521
"Khar , Mumbai","Andheri, Mumbai",19.0716903,72.8341267,19.1171389,72.846563,19.0716,72.834166,19.114485,72.84749
"Borivali , Mumbai","JVLR, Mumbai",19.2371877,72.8441358,19.1247111,72.8957516,19.241261,72.84643,19.123033,72.898429
"Thakur flyover, Mumbai","Borivali, Mumbai",18.9512746,72.8318182,19.2371877,72.8441358,18.94979,72.828848,19.241261,72.84643
"Mumbai , Mumbai","Goregaon, Mumbai",19.0176169,72.8561288,19.1551485,72.8678551,19.014153,72.852038,19.151824,72.871753
"SCLR , Mumbai","kalina, Mumbai",19.0751712,72.8723361,19.076277,72.8653997,19.071427,72.872137,19.071737,72.861408
"Deonar , Mumbai","kalanagar, Mumbai",19.0568324,72.9171241,19.0531331,72.8471231,19.054895,72.916753,19.053133,72.847123
"Marve , Mumbai","Dindoshi, Mumbai",19.1918039,72.7991092,19.1762177,72.8616978,19.195019,72.79948,19.179255,72.862358
"Mahim , Mumbai","Santacruz, Mumbai",19.0351534,72.8404432,19.0825552,72.8417627,19.031667,72.842153,19.083041,72.840814
"Ghatkopar , Mumbai","Vashi, Mumbai",19.0856491,72.9082207,19.0770644,72.9989925,19.08884,72.907007,19.078352,72.998238
"Pedder Road, Mumbai","Haji Ali, Mumbai",18.9714675,72.8095069,18.9778192,72.8104819,18.973047,72.809374,18.9735,72.809168
"Kherwadi , Mumbai","Vile Parle, Mumbai",19.0586788,72.8443768,19.1030524,72.8466914,19.061967,72.847716,19.103449,72.85027
"Versova , Mumbai","Bandra , Mumbai",19.1350852,72.8146101,19.0606917,72.8362497,19.133291,72.81188,19.059348,72.833521
"Kandivali , Mumbai","JVLR, Mumbai",19.2045159,72.8520095,19.1247111,72.8957516,19.20041,72.848866,19.123033,72.898429
"Andheri-Ghatkopar link Road, Mumbai","Ghatkopar, Mumbai",19.0856491,72.9082207,19.0856491,72.9082207,19.08884,72.907007,19.08884,72.907007
"Vashi Gaon , Mumbai","Mankhurd, Mumbai",19.0326454,72.8884517,19.0558482,72.9281589,19.0318,72.887306,19.058914,72.924533
"Kandivali east, Mumbai","Kandivali, Mumbai",19.2114533,72.8737217,19.2045159,72.8520095,19.213382,72.872673,19.20041,72.848866
"Lower Parel , Mumbai","Andheri, Mumbai",18.9927476,72.8310679,19.1171389,72.846563,18.98955,72.835729,19.114485,72.84749
"andheri , Mumbai","thane, Mumbai",19.1171389,72.846563,19.0759837,72.8776559,19.114485,72.84749,19.075357,72.878716
"Dadabhai Naoroji Road, Mumbai","CST, Mumbai",18.9325,72.8317,18.9409708,72.8346536,18.936125,72.833647,18.939156,72.835428
"kandivali , Mumbai","worli, Mumbai",19.2045159,72.8520095,18.9872015,72.8290456,19.20041,72.848866,18.983369,72.824445
"Amar Mahal , Mumbai","Chembur, Mumbai",19.0645719,72.8996193,19.0327996,72.8963568,19.062857,72.898144,19.034365,72.895869
"Suman Nagar , Mumbai","Amar Mahal, Mumbai",19.0519864,72.8847779,19.0645719,72.8996193,19.054049,72.881361,19.062857,72.898144
"Mumbai , Mumbai","Bangalore, Mumbai",19.0176169,72.8561288,13.0422952,77.5901551,19.014153,72.852038,13.0383,77.589075
"Vakola , Mumbai","Goregaon, Mumbai",19.0788783,72.8500307,19.1551485,72.8678551,19.081211,72.854278,19.151824,72.871753
"Mahim , Mumbai","Worli, Mumbai",19.0351534,72.8404432,18.9872015,72.8290456,19.031667,72.842153,18.983369,72.824445
"Ghatkopar , Mumbai","Ghatkopar, Mumbai",19.0856491,72.9082207,19.0856491,72.9082207,19.08884,72.907007,19.08884,72.907007
"Vidyavihar east, Mumbai","Kharghar, Mumbai",19.079961,72.898767,19.0473216,73.0699046,19.080021,72.896374,19.043458,73.067571
"Mahim , Mumbai","Goregaon, Mumbai",19.0351534,72.8404432,19.1551485,72.8678551,19.031667,72.842153,19.151824,72.871753
"Ghodbunder , Mumbai","Mira Road, Mumbai",19.2597254,72.9695364,19.2797513,72.8561635,19.262808,72.968564,19.281611,72.858482
"Andheri , Mumbai","Panvel, Mumbai",19.1171389,72.846563,18.9894007,73.1175162,19.114485,72.84749,18.988543,73.121323
"Bandra SV Road, Mumbai","sealink, Mumbai",19.0557714,72.8372115,19.0297096,72.8152912,19.053839,72.839392,18.988543,73.121323
"Andheri east, Mumbai","Bandra, Mumbai",19.1154908,72.8726952,19.0606917,72.8362497,19.111942,72.868469,19.059348,72.833521
"Belapur , Mumbai","Kurla Phoenix, Mumbai",19.0189704,73.0392364,18.995177,72.8261375,19.019338,73.041132,18.995735,72.826366
"Dahisar , Mumbai","Vile Parle, Mumbai",19.2499632,72.8593943,19.1030524,72.8466914,19.247674,72.859154,19.103449,72.85027
"Marine , Mumbai","Kandivli, Mumbai",18.9457243,72.8237605,19.2045159,72.8520095,18.948931,72.825366,19.20041,72.848866
