SER,Distance,Speed,TIME
1,0.236,23.49369369369369,0
1,0.236,22.797302114949172,1
1,0.236,21.850778050778047,2
1,0.236,23.281081081081073,3
1,0.236,22.486683046683044,4
1,0.236,22.614250614250615,5
1,0.236,22.1092442539251,6
1,0.236,24.37937174711368,7
1,0.236,23.377445380603273,8
1,0.236,19.727875238409748,9
1,0.236,18.963754099739294,10
1,0.236,20.858695523376372,11
1,0.236,20.03550332941637,12
1,0.236,20.411846261846257,13
1,0.236,21.67295659295659,14
1,0.236,20.146226319478597,15
1,0.236,19.384898767689464,16
1,0.236,19.953886977886974,17
1,0.236,20.461903826460453,18
1,0.236,19.24874933462449,19
1,0.236,18.681051725732576,20
1,0.236,20.963400146558037,21
1,0.236,20.70487722803512,22
1,0.236,22.781441441441434,23
2,0.295,47.92292490118577,0
2,0.295,47.41808191808192,1
2,0.295,47.03496503496504,2
2,0.295,48.27272727272727,3
2,0.295,46.78741258741259,4
2,0.295,47.24715284715285,5
2,0.295,47.60227272727273,6
2,0.295,48.27272727272727,7
2,0.295,46.33536029188203,8
2,0.295,44.02899665551839,9
2,0.295,39.92795377036756,10
2,0.295,43.568903318903324,11
2,0.295,43.06954156954157,12
2,0.295,41.513084741345615,13
2,0.295,44.05516705516706,14
2,0.295,42.34915084915085,15
2,0.295,38.79520824003583,16
2,0.295,41.18154748477329,17
2,0.295,43.15095249578008,18
2,0.295,41.23882324571979,19
2,0.295,42.13117055358435,20
2,0.295,41.39984299225679,21
2,0.295,42.34867587435054,22
2,0.295,46.33536029188203,23
3,0.291,48.751948051948055,0
3,0.291,47.33474025974025,1
3,0.291,48.374025974025976,2
3,0.291,48.374025974025976,3
3,0.291,46.484415584415586,4
3,0.291,46.76155844155844,5
3,0.291,48.46850649350649,6
3,0.291,48.374025974025976,7
3,0.291,46.775124875124874,8
3,0.291,44.24974590626764,9
3,0.291,42.54909655561829,10
3,0.291,40.660765567765566,11
3,0.291,44.51486013986014,12
3,0.291,43.64244155844156,13
3,0.291,42.92103030303031,14
3,0.291,43.22685647685648,15
3,0.291,39.87914852963129,16
3,0.291,40.97935064935065,17
3,0.291,43.99134897360704,18
3,0.291,39.25391286133221,19
3,0.291,41.6131292041292,20
3,0.291,45.63409090909091,21
3,0.291,43.028766885288626,22
3,0.291,45.63409090909091,23
4,0.266,40.0468844454778,0
4,0.266,45.323636363636375,1
4,0.266,43.52727272727273,2
4,0.266,44.67272727272728,3
4,0.266,42.18797202797203,4
4,0.266,43.52727272727273,5
4,0.266,44.218181818181826,6
4,0.266,44.218181818181826,7
4,0.266,41.780358771663124,8
4,0.266,40.44274747474748,9
4,0.266,40.44274747474748,10
4,0.266,38.380885780885784,11
4,0.266,39.41229946524064,12
4,0.266,36.87337834579213,13
4,0.266,40.85664335664335,14
4,0.266,37.27696226187606,15
4,0.266,35.98823529411765,16
4,0.266,34.11070341423282,17
4,0.266,35.280131633072806,18
4,0.266,25.907772737900398,19
4,0.266,34.872151378033735,20
4,0.266,35.966704263478455,21
4,0.266,36.89156637998017,22
4,0.266,39.7501374277896,23
5,0.157,6.399225106547849,0
5,0.157,6.682916347576433,1
5,0.157,6.548134831460675,2
5,0.157,6.3505617977528095,3
5,0.157,6.350561797752809,4
5,0.157,6.379759783029833,5
5,0.157,6.521702547428499,6
