SER,LAT1,LNG1,LAT2,LNG2
201,19.141021,72.827691,19.139769,72.825803
202,19.140175,72.826103,19.142805,72.824634
203,19.143193,72.824419,19.145229,72.82329
204,19.145924,72.823038,19.146722,72.823685
205,19.147318,72.823333,19.146327,72.824835
206,19.141444,72.831578,19.135669,72.832096
207,19.131171,72.831439,19.128272,72.831138
208,19.143682,72.836629,19.1458,72.836704
209,19.146259,72.836259,19.145844,72.831594
210,19.146543,72.836571,19.148405,72.836275
211,19.141967,72.831891,19.141767,72.834281
212,19.143214,72.837562,19.144234,72.84022
213,19.144358,72.842666,19.147193,72.842959
214,19.150143,72.843209,19.152357,72.844499
215,19.141161,72.843293,19.138219,72.845573
216,19.137495,72.846269,19.135361,72.847771
217,19.135361,72.847771,19.130532,72.847501
218,19.146398,72.856253,19.142422,72.855302
219,19.140732,72.855146,19.140611,72.858148
220,19.139702,72.869334,19.137464,72.872866
221,19.134969,72.874218,19.134969,72.874218
222,19.130125,72.877273,19.12942,72.884636
223,19.126831,72.889649,19.12477,72.895079
224,19.122621,72.898547,19.119449,72.903129
225,19.124132,72.913187,19.125875,72.91727
226,19.121934,72.937494,19.125587,72.93896
227,19.125542,72.939102,19.131385,72.94233
228,19.126369,72.921719,19.12521,72.928379
229,19.129416,72.876046,19.12288,72.871307
230,19.118295,72.869669,19.117786,72.86341
231,19.094086,72.898374,19.098498,72.892502
232,19.103876,72.887231,19.107115,72.883784
233,19.108183,72.879151,19.10979,72.874893
234,19.114729,72.860255,19.115977,72.855914
235,19.080774,72.843031,19.080539,72.846088
236,19.080303,72.85052,19.08154,72.854626
237,19.08189,72.858502,19.081387,72.854486
238,19.074462,72.84782,19.074085,72.852523
239,19.073794,72.852829,19.072258,72.854642
240,19.07536,72.855946,19.074574,72.860079
241,19.071978,72.865094,19.074589,72.871035
242,19.076256,72.874748,19.076219,72.877134
243,19.073647,72.882183,19.070286,72.886463
244,19.06629,72.890395,19.064639,72.896472
245,19.077988,72.878872,19.083519,72.882557
246,19.084776,72.885363,19.085516,72.893603
247,19.126006,72.93914,19.126006,72.93914
248,19.086172,72.895667,19.087824,72.904353
249,19.088391,72.906408,19.091212,72.910686
250,19.092336,72.911701,19.097108,72.915659
251,19.111111,72.925642,19.115151,72.926131
252,19.120119,72.925701,19.124803,72.925173
253,19.10276,72.91943,19.10533,72.916887
254,19.110576,72.917711,19.11468,72.917447
255,19.104471,72.886887,19.106426,72.887888
256,19.107927,72.887686,19.107927,72.887686
257,19.122755,72.891856,19.124815,72.892904
258,19.118547,72.89004,19.1218,72.891184
259,19.111699,72.888289,19.115,72.888953
260,19.053163,72.847758,19.05961,72.855036
261,19.059899,72.855776,19.063481,72.859757
262,19.065423,72.862246,19.069316,72.868508
263,19.065498,72.861813,19.066248,72.857327
264,19.066623,72.855248,19.067024,72.851248
265,19.053877,72.886804,19.054215,72.892067
266,19.05407,72.894911,19.052628,72.899632
267,19.051819,72.901881,19.048737,72.906187
268,19.047894,72.90707,19.046357,72.908817
269,19.045766,72.908238,19.046115,72.900108
270,19.046825,72.900246,19.049771,72.900315
271,19.050754,72.865348,19.058462,72.871148
272,19.060461,72.872472,19.065962,72.874669
273,19.220855,72.853166,19.22131,72.860418
274,19.221356,72.861679,19.221484,72.865127
275,19.230725,72.856209,19.23078,72.850381
276,19.230338,72.845378,19.230103,72.84125
277,19.228608,72.855634,19.22861,72.850642
278,19.22858,72.849754,19.228755,72.845339
279,19.229141,72.844204,19.229986,72.841145
280,19.230097,72.840579,19.231376,72.834926
281,19.232229,72.829752,19.232992,72.825066
282,19.228243,72.840943,19.223093,72.840921
283,19.224997,72.84087,19.219779,72.840782
284,19.219682,72.841396,19.220378,72.848051
285,19.219317,72.840715,19.215221,72.838366
286,19.215004,72.83849,19.212776,72.843422
287,19.21253,72.844391,19.212886,72.849366
288,19.213147,72.849802,19.213874,72.85102
289,19.214741,72.837991,19.21093,72.835626
290,19.210404,72.835446,19.207444,72.834941
291,19.207415,72.829967,19.207253,72.834591
292,19.207597,72.836384,19.205398,72.838853
293,19.205229,72.841538,19.205195,72.846009
294,19.204981,72.846744,19.204238,72.849297
295,19.20632,72.834798,19.202799,72.834136
296,19.201692,72.833986,19.19646,72.833742
297,19.195648,72.833139,19.196349,72.826021
298,19.196328,72.82572,19.195932,72.822219
299,19.195718,72.833838,19.195443,72.837308
300,19.195529,72.833684,19.190498,72.835184
