LAT1,LNG1,LAT2,LNG2
19.047637,72.913599,19.048661,72.920337
19.014153,72.852038,19.017666,72.84769
19.014153,72.852038,19.0160273,72.8588404
19.014153,72.852038,19.0160273,72.8588404
19.053839,72.839392,19.059239,72.836917
19.205448,72.977414,19.201237,72.973021
19.205448,72.977414,19.208448,72.982669
19.205448,72.977414,19.211007,72.97715
19.205448,72.977414,19.208505,72.982736
19.193938,72.970529,19.196592,72.977083
19.194576,72.872567,19.1997,72.8735
19.201237,72.973021,19.196592,72.977083
19.201237,72.973021,19.204784,72.968468
19.201237,72.973021,19.201799,72.977744
19.201237,72.973021,19.197096,72.978114
19.135034,72.928936,19.139916,72.928336
19.135034,72.928936,19.129507,72.925716
19.135034,72.928936,19.130047,72.930503
19.135034,72.928936,19.140059,72.925714
19.120279,72.912749,19.121462,72.907958
19.115548,72.905842,19.11404,72.899275
19.115548,72.905842,19.119658,72.902401
19.115548,72.905842,19.121462,72.907958
19.287102,72.86743,19.285585,72.861661
19.229684,72.984314,19.23333,72.987744
19.218,72.980702,19.211621,72.982012
19.218,72.980702,19.211703,72.982102
19.125929,72.873115,19.12994,72.868298
19.228964,72.983093,19.23333,72.987744
19.116214,72.831926,19.115941,72.837875
19.116214,72.831926,19.116014,72.837786
19.116214,72.831926,19.112198,72.828714
19.242154,72.852406,19.244402,72.858997
19.208448,72.982669,19.211007,72.97715
19.208448,72.982669,19.209502,72.976971
19.12994,72.868298,19.134471,72.863431
19.12994,72.868298,19.1260269,72.872871
19.196592,72.977083,19.201799,72.977744
19.18784,72.979965,19.182786,72.975647
19.026184,72.866048,19.031775,72.864114
19.06953,72.899662,19.0647603,72.8958929
19.06953,72.899662,19.0689601,72.9047477
19.06953,72.899662,19.0645719,72.8996193
19.06953,72.899662,19.064748,72.896084
19.211007,72.97715,19.211621,72.982012
19.211007,72.97715,19.211703,72.982102
19.211007,72.97715,19.208505,72.982736
19.232483,72.830384,19.230999,72.825136
19.218514,72.983366,19.220145,72.989822
19.209502,72.976971,19.211621,72.982012
19.209502,72.976971,19.211703,72.982102
19.209502,72.976971,19.208505,72.982736
19.014912,72.839022,19.01856,72.834141
19.11572,72.834859,19.118228,72.829744
19.254774,72.854426,19.2513601,72.8604074
18.957648,72.826899,18.9558908,72.8328534
19.01856,72.834141,19.0163387,72.8401024
19.211621,72.982012,19.217517,72.979664
19.070071,72.829086,19.071672,72.834023
19.110615,72.872209,19.112169,72.878894
19.19975,72.954106,19.1934877,72.9516519
19.19975,72.954106,19.1934877,72.9516519
19.211703,72.982102,19.217517,72.979664
19.008187,72.830834,19.0074271,72.8359006
19.188179,72.963802,19.1822842,72.9660413
19.249541,72.867554,19.255833,72.868836
19.065115,72.84635,19.067707,72.841755
19.131756,72.831622,19.13329,72.83767
19.11728,72.88718,19.113308,72.890552
19.072476,72.82712,19.074919,72.823085
19.072476,72.82712,19.071672,72.834023
19.147888,72.84815,19.145029,72.842697
19.147888,72.84815,19.143911,72.842699
18.959564,72.811951,18.9629992,72.8175748
18.959564,72.811951,18.964214,72.807582
19.11404,72.899275,19.119658,72.902401
19.114485,72.84749,19.116373,72.842152
18.946677,72.835358,18.9510043,72.838987
18.946677,72.835358,18.9512244,72.8317199
19.059239,72.836917,19.064096,72.837204
19.129507,72.925716,19.130047,72.930503
19.129507,72.925716,19.128609,72.920865
19.107125,72.835656,19.1078354,72.8421528
18.958491,72.819761,18.9629992,72.8175748
18.958491,72.819761,18.956264,72.813778
19.219745,72.8288,19.215257,72.833378
19.127868,72.844205,19.131774,72.847521
19.118228,72.829744,19.112198,72.828714
19.191794,72.833622,19.196914,72.833647
19.200555,72.834046,19.206306,72.83465
19.048661,72.920337,19.04355,72.923374
19.220454,72.829345,19.215257,72.833378
19.081802,72.893747,19.086501,72.888839
19.249752,72.867084,19.2513601,72.8604074
19.249752,72.867084,19.255833,72.868836
19.042739,72.928654,19.04355,72.923374
19.205822,72.870418,19.2059751,72.8655973
19.217209,72.850359,19.211151,72.851475
19.217209,72.850359,19.222083,72.853203
19.201799,72.977744,19.197096,72.978114
19.145029,72.842697,19.139578,72.843938
19.145029,72.842697,19.142862,72.836927
19.145029,72.842697,19.145705,72.836723
19.064096,72.837204,19.067707,72.841755
19.231798,72.863565,19.236617,72.867869
19.283536,72.865966,19.285585,72.861661
19.185607,73.021236,19.1792628,73.0225864
19.185607,73.021236,19.1792628,73.0225864
19.185607,73.021236,19.1792628,73.0225864
19.219151,72.847949,19.214414,72.850928
19.219151,72.847949,19.222083,72.853203
19.0802177,72.8495157,19.074101,72.849603
19.1280018,72.8434699,19.124334,72.846717
19.1280018,72.8434699,19.131774,72.847521
19.1150205,72.8495134,19.112994,72.8544942
19.0647603,72.8958929,19.0625773,72.9012527
19.1254163,72.9242804,19.128609,72.920865
19.1150205,72.8495134,19.112994,72.8544942
19.1150205,72.8495134,19.112994,72.8544942
18.9512244,72.8317199,18.9558908,72.8328534
19.1150205,72.8495134,19.112994,72.8544942
19.196216,72.827547,19.196914,72.833647
19.1371326,72.8464852,19.131774,72.847521
19.1371326,72.8464852,19.141894,72.843117
19.0625773,72.9012527,19.064748,72.896084
19.0848389,72.8324957,19.084052,72.837864
19.0689601,72.9047477,19.0645719,72.8996193
19.0689601,72.9047477,19.068483,72.9097
