SER,LAT1,LNG1,LAT2,LNG2
362,19.022509,72.860583,19.027388,72.85956
363,19.030282,72.858266,19.03441,72.862471
364,19.035267,72.863247,19.037385,72.865062
365,18.945204,72.83455,18.94927,72.834744
366,18.953659,72.833317,18.955322,72.832745
367,18.97278,72.833089,18.974786,72.833668
368,18.975548,72.833507,18.976698,72.83341
369,18.977022,72.833584,18.975319,72.833743
370,18.978994,72.833871,18.985203,72.835402
371,18.991431,72.835923,18.986651,72.83566
372,18.996993,72.837265,19.002595,72.838448
373,19.005647,72.839834,19.011166,72.842989
374,19.015045,72.846148,19.020111,72.849438
375,19.02008,72.849567,19.013137,72.84447
376,19.021714,72.85064,19.030296,72.857743
377,19.030404,72.857936,19.0232,72.851978
378,19.037004,72.860725,19.030275,72.857871
379,19.030285,72.857767,19.036957,72.860597
380,19.063298,72.896269,19.054653,72.884669
381,19.056201,72.886429,19.066976,72.90136
382,19.091921,72.925221,19.116507,72.935315
383,19.118085,72.935983,19.124147,72.938514
384,19.151727,72.954851,19.157341,72.958623
385,19.21153,72.975902,19.218822,72.977999
386,19.006015,72.856036,19.009639,72.862809
387,19.020196,72.874646,19.025733,72.876887
388,19.046223,72.908684,19.052088,72.900828
389,19.150769,72.843571,19.15867,72.845872
390,19.161911,72.845955,19.169665,72.845348
391,19.19827,72.848365,19.198971,72.856573
392,19.174289,72.845031,19.188404,72.846467
393,19.190128,72.846651,19.1995,72.848453
394,19.201175,72.848911,19.209615,72.850811
395,19.210854,72.85134,19.21865,72.851834
396,19.22043,72.852676,19.214094,72.85112
397,19.027539,72.877207,19.042465,72.879231
398,19.043311,72.879148,19.047659,72.877956
399,19.048943,72.877546,19.051481,72.877705
400,19.05082,72.864827,19.050398,72.857405
401,19.046851,72.86244,19.048273,72.856422
402,19.048261,72.855928,19.045896,72.848524
403,19.045722,72.848377,19.038178,72.853625
404,19.045039,72.863974,19.047177,72.862954
405,19.085861,72.838009,19.094049,72.839482
406,19.096773,72.839463,19.102548,72.839352
407,19.104211,72.83934,19.111444,72.8412
